file,loudness_mean,loudness_std,brightness_mean,brightness_std,flux_mean,flux_std,zcr_mean,zcr_std,sharpness_mean,sharpness_std,hnr_mean,hnr_std
corpus/ace__edm_L1_verb__s0.wav,0.082165234,0.08718633,1393.1435887762352,697.3347907343293,0.8749727,1.6736665,0.04042908281733746,0.031559155063084474,0.0029527722,0.00978662,33.67992,8.860495
corpus/ace__edm_L1_verb__s1.wav,0.07248183,0.07830361,1971.4663470892983,1513.9958182100818,1.4814262,2.7607143,0.07690920992163312,0.08845304156162903,0.022638997,0.056079302,30.946894,13.112327
corpus/ace__edm_L1_verb__s2.wav,0.07774739,0.072348386,1057.0841316847584,884.5729443327697,0.6559931,1.0128036,0.037356161111648606,0.04608544976309105,0.0016632051,0.011140231,42.168278,9.886135
corpus/ace__edm_L1_verb__s3.wav,0.12907627,0.075573266,1947.8763955447178,1567.6689639662663,2.8764687,4.462229,0.060305757788312694,0.09354518700489968,0.013547572,0.030922646,31.723862,14.232712
corpus/ace__edm_L1_verb__s4.wav,0.09042122,0.08170106,1931.2207287434358,1571.5978117158088,1.8144337,3.9286208,0.05784545520510836,0.07775680137383996,0.013933184,0.035976287,33.71954,13.471916
corpus/ace__edm_L1_verb__s5.wav,0.14018248,0.098193094,1835.620840956418,1292.3858723512697,1.764947,2.9894416,0.0642120077883127,0.08196431274271189,0.014421596,0.033093285,30.639591,12.213575
corpus/ace__edm_L3_verb__s0.wav,0.0540672,0.046884086,1574.1331457214144,1045.6000125953792,1.2390194,2.632897,0.04515316611842105,0.04888196518225179,0.006266625,0.021554263,33.522724,10.214585
corpus/ace__edm_L3_verb__s1.wav,0.0670626,0.052676864,1562.8793687589105,1161.5142285566678,0.9631089,1.7684339,0.07612047697368421,0.09942381401855545,0.009308098,0.034118656,34.54197,11.164356
corpus/ace__edm_L3_verb__s2.wav,0.08652385,0.06490454,1040.5534982251086,640.4318862048075,1.1941432,2.2063797,0.04626691599748452,0.031131677522555037,0.0015740086,0.0077637807,39.523304,9.194211
corpus/ace__edm_L3_verb__s3.wav,0.11808149,0.08998052,1925.9580046630438,1259.093008887665,1.5143833,2.788993,0.059729797552244585,0.06897102075063567,0.013483588,0.034787226,30.22537,12.112792
corpus/ace__edm_L3_verb__s4.wav,0.09949031,0.09646142,1266.029040583796,971.5613417293512,1.2711457,2.7113972,0.045546587775735295,0.0572766494844858,0.0055683753,0.018858157,36.586777,11.15003
corpus/ace__edm_L3_verb__s5.wav,0.10525854,0.07098684,1607.6914499680115,1292.276319593651,1.804555,3.9525476,0.06232313032120743,0.0708056921412652,0.016050342,0.046943415,34.679585,13.885348
corpus/ace__edm_L5_verb__s0.wav,0.092583716,0.081048675,1616.8940388761057,989.848284785533,1.1335349,2.1779044,0.0424264252370356,0.058351788615365496,0.005771332,0.021231545,33.52906,10.197996
corpus/ace__edm_L5_verb__s1.wav,0.13216594,0.089842826,1825.0445221104246,831.8430144322729,1.4497328,2.5003924,0.04413125241873065,0.0317974055529668,0.0077698017,0.01623381,28.75624,10.492566
corpus/ace__edm_L5_verb__s2.wav,0.13161962,0.09940111,1787.6250289265809,1011.893180830929,1.9439701,2.9661887,0.044483102142995355,0.05197571292480164,0.00956153,0.02652304,30.277147,10.478299
corpus/ace__edm_L5_verb__s3.wav,0.079743445,0.07438956,1347.241946070315,951.5955438823353,1.2337736,2.5122752,0.040827039594620744,0.03162268763003111,0.0059656943,0.01978557,36.56222,11.688977
corpus/ace__edm_L5_verb__s4.wav,0.12435123,0.09312197,1721.136918434652,1185.558283910819,1.6006615,2.5739064,0.04176089638157895,0.047522980393884466,0.007740074,0.020653011,31.654453,10.681768
corpus/ace__edm_L5_verb__s5.wav,0.11126257,0.07228995,1621.445786554657,983.8712799004422,1.0427983,1.7891757,0.057283478255611454,0.05814198519858219,0.0046269475,0.011036321,32.250015,10.482649
corpus/ace__edm_L7_verb__s0.wav,0.09545689,0.057940427,1773.4250771068866,1253.740784485537,1.7774428,3.1990392,0.05405258320433436,0.07927691912450863,0.022054946,0.059889536,30.293398,13.228764
corpus/ace__edm_L7_verb__s1.wav,0.120969236,0.08357998,1643.0315214244579,729.8809096434801,1.3354381,2.1025696,0.04355982730263158,0.031180214501099354,0.006540874,0.013934711,29.34023,8.821889
corpus/ace__edm_L7_verb__s2.wav,0.09125267,0.068839446,2245.8811340612056,1213.8158605282586,1.5132434,2.241705,0.08327425079818111,0.08452362198690519,0.013159131,0.03089402,26.439299,9.217803
corpus/ace__edm_L7_verb__s3.wav,0.11255067,0.099224605,1809.3570308095934,995.0117240716609,1.3551209,2.2663403,0.05452385775445046,0.04509151055684316,0.008634751,0.020578556,31.1521,11.252912
corpus/ace__edm_L7_verb__s4.wav,0.143034,0.07479311,1988.8261869430157,1119.3294800007448,1.6684225,2.893561,0.050894627999226005,0.05196989460172535,0.014021782,0.03034628,28.211796,12.2270775
corpus/ace__edm_L7_verb__s5.wav,0.09503681,0.073839076,1690.0577442160845,1045.0209897315729,1.2178108,1.7882342,0.057613408233359135,0.05153864287522395,0.008635889,0.01826148,30.90613,11.362897
