model,genre_slug,1,3,5,7,9
ace,edm,4.65,4.28,4.48,5.2,4.38
ace,folk,3.77,3.77,4.02,4.62,3.87
ace,hiphop,4.57,3.87,4.37,5.1,4.35
ace,orchestral,3.7,3.9,4.1,4.4,4.05
ace,rock,4.13,4.2,4.67,5.18,5.08
mgm,edm,5.87,6.38,6.18,6.32,6.5
mgm,folk,4.43,4.03,5.82,4.9,6.25
mgm,hiphop,5.38,4.65,6.32,6.33,6.5
mgm,orchestral,3.77,4.67,4.97,5.98,6.47
mgm,rock,6.37,6.38,6.48,6.5,6.48
mgs,edm,5.4,5.73,6.47,6.42,6.38
mgs,folk,4.15,4.08,4.73,5.72,5.0
mgs,hiphop,4.98,5.53,6.18,6.28,6.33
mgs,orchestral,3.9,3.97,4.02,5.67,4.72
mgs,rock,5.37,6.17,6.33,6.48,6.03
sa3s,edm,4.87,5.8,6.47,6.45,6.42
sa3s,folk,3.95,4.03,4.97,5.47,4.23
sa3s,hiphop,5.4,4.43,6.15,5.97,6.05
sa3s,orchestral,4.05,4.17,5.57,6.03,5.7
sa3s,rock,6.48,6.07,6.45,6.5,6.5
sao,edm,5.92,6.42,6.28,6.5,6.5
sao,folk,3.87,4.5,4.7,5.33,5.78
sao,hiphop,5.57,5.75,6.37,6.4,6.5
sao,orchestral,4.77,5.18,5.25,5.88,6.33
sao,rock,5.83,6.22,6.22,6.33,6.5
