model,phrasing,level,p0a,clap,lufs,p0a_n,clap_n
ace,numeric,1,4.403,0.133,-18.844,4.85,0.171
ace,numeric,3,4.25,0.113,-19.002,4.61,0.171
ace,numeric,5,4.307,0.123,-18.762,4.78,0.149
ace,numeric,7,4.297,0.115,-18.701,4.723,0.163
ace,numeric,9,4.493,0.156,-18.996,5.077,0.195
ace,verbal,1,4.163,0.064,-18.738,4.45,0.124
ace,verbal,3,4.003,0.068,-19.257,4.363,0.124
ace,verbal,5,4.327,0.115,-18.979,4.847,0.144
ace,verbal,7,4.9,0.233,-18.606,5.443,0.269
ace,verbal,9,4.347,0.152,-19.116,4.847,0.176
mgm,numeric,1,5.713,0.309,-16.506,6.027,0.342
mgm,numeric,3,5.91,0.289,-16.838,6.1,0.332
mgm,numeric,5,5.883,0.296,-17.411,6.19,0.336
mgm,numeric,7,5.947,0.3,-16.928,6.087,0.361
mgm,numeric,9,5.717,0.287,-18.072,6.033,0.335
mgm,verbal,1,5.163,0.168,-19.142,5.497,0.232
mgm,verbal,3,5.223,0.199,-18.45,5.523,0.247
mgm,verbal,5,5.953,0.272,-20.297,6.287,0.328
mgm,verbal,7,6.007,0.28,-17.508,6.17,0.343
mgm,verbal,9,6.44,0.373,-16.835,6.47,0.405
mgs,numeric,1,5.747,0.259,-18.88,6.123,0.3
mgs,numeric,3,5.717,0.23,-19.814,6.107,0.306
mgs,numeric,5,5.953,0.246,-18.728,6.177,0.283
mgs,numeric,7,5.797,0.254,-18.482,6.05,0.294
mgs,numeric,9,5.823,0.239,-19.837,6.137,0.325
mgs,verbal,1,4.76,0.066,-21.639,5.22,0.174
mgs,verbal,3,5.097,0.092,-20.401,5.517,0.171
mgs,verbal,5,5.547,0.208,-18.92,5.703,0.273
mgs,verbal,7,6.113,0.303,-16.814,6.203,0.312
mgs,verbal,9,5.693,0.257,-19.732,5.927,0.361
sa3s,numeric,1,5.69,0.294,-16.487,5.887,0.314
sa3s,numeric,3,5.927,0.31,-16.753,6.12,0.342
sa3s,numeric,5,5.7,0.299,-17.058,5.93,0.333
sa3s,numeric,7,5.773,0.297,-16.772,6.063,0.324
sa3s,numeric,9,5.927,0.315,-16.62,6.077,0.331
sa3s,verbal,1,4.95,0.136,-18.921,5.42,0.186
sa3s,verbal,3,4.9,0.13,-18.72,5.25,0.198
sa3s,verbal,5,5.92,0.314,-16.028,6.09,0.329
sa3s,verbal,7,6.083,0.32,-16.684,6.27,0.338
sa3s,verbal,9,5.78,0.318,-17.534,6.097,0.352
sao,numeric,1,6.04,0.304,-17.057,6.29,0.324
sao,numeric,3,6.077,0.317,-16.231,6.28,0.315
sao,numeric,5,6.06,0.293,-16.034,6.267,0.31
sao,numeric,7,6.007,0.311,-16.466,6.25,0.338
sao,numeric,9,6.04,0.302,-16.334,6.29,0.311
sao,verbal,1,5.19,0.158,-19.933,5.76,0.224
sao,verbal,3,5.613,0.207,-18.312,6.11,0.241
sao,verbal,5,5.763,0.246,-18.714,6.16,0.282
sao,verbal,7,6.09,0.294,-17.02,6.323,0.303
sao,verbal,9,6.323,0.361,-13.608,6.43,0.349
