model,phrasing,level,axis
ace,numeric,1,-0.0999
ace,numeric,3,-0.1138
ace,numeric,5,-0.1047
ace,numeric,7,-0.1101
ace,numeric,9,-0.1087
ace,verbal,1,-0.1255
ace,verbal,3,-0.1524
ace,verbal,5,-0.1013
ace,verbal,7,-0.0723
ace,verbal,9,-0.0832
mgm,numeric,1,0.1023
mgm,numeric,3,0.1184
mgm,numeric,5,0.115
mgm,numeric,7,0.0995
mgm,numeric,9,0.0917
mgm,verbal,1,-0.0016
mgm,verbal,3,0.006
mgm,verbal,5,0.0914
mgm,verbal,7,0.106
mgm,verbal,9,0.1543
mgs,numeric,1,0.0782
mgs,numeric,3,0.0814
mgs,numeric,5,0.0679
mgs,numeric,7,0.0516
mgs,numeric,9,0.0678
mgs,verbal,1,-0.0266
mgs,verbal,3,-0.0104
mgs,verbal,5,0.0703
mgs,verbal,7,0.103
mgs,verbal,9,0.1131
sa3s,numeric,1,0.0813
sa3s,numeric,3,0.1018
sa3s,numeric,5,0.1005
sa3s,numeric,7,0.1014
sa3s,numeric,9,0.094
sa3s,verbal,1,-0.0193
sa3s,verbal,3,-0.0267
sa3s,verbal,5,0.0788
sa3s,verbal,7,0.0947
sa3s,verbal,9,0.1013
sao,numeric,1,0.0771
sao,numeric,3,0.0828
sao,numeric,5,0.0841
sao,numeric,7,0.0866
sao,numeric,9,0.0817
sao,verbal,1,-0.0367
sao,verbal,3,0.0016
sao,verbal,5,0.0416
sao,verbal,7,0.0445
sao,verbal,9,0.0963
