analysis,model,scope,point,lo,hi,note
rho_level_raw,ace,verbal,0.3418,0.1765,0.494,
delta_raw_mean,ace,verbal,0.2078,-0.0342,0.4331,
delta_raw_median,ace,verbal,0.2253,-0.0268,0.6175,
rho_level_raw,mgm,verbal,0.5864,0.4678,0.6838,
delta_raw_mean,mgm,verbal,1.8567,1.4651,2.2401,
delta_raw_median,mgm,verbal,1.8564,1.4146,2.4045,
rho_level_raw,mgs,verbal,0.4061,0.2679,0.525,
delta_raw_mean,mgs,verbal,0.9646,0.4869,1.4218,
delta_raw_median,mgs,verbal,1.2022,0.4717,1.6614,
rho_level_raw,sa3s,verbal,0.4058,0.2472,0.5426,
delta_raw_mean,sa3s,verbal,0.7284,0.3133,1.1314,
delta_raw_median,sa3s,verbal,0.8297,0.3177,1.3289,
rho_level_raw,sao,verbal,0.537,0.4033,0.648,
delta_raw_mean,sao,verbal,1.3888,1.0284,1.7475,
delta_raw_median,sao,verbal,1.5037,0.9589,1.82,
edge_gain_norock,ALL,verbal,0.2166,0.1113,0.3211,
edge_gain_norock,ace,verbal,0.3447,0.2211,0.481,
edge_gain_norock,mgm,verbal,0.2254,0.0364,0.3948,
edge_gain_norock,mgs,verbal,0.1566,-0.0364,0.3549,
edge_gain_norock,sa3s,verbal,0.3291,0.1905,0.4648,
edge_gain_norock,sao,verbal,0.027,-0.091,0.1478,
family_drho,scale_mgm-mgs,verbal,0.1508,-0.0006,0.3151,
family_drho,era_sa3s-sao,verbal,-0.1199,-0.267,0.024,
rho_level_axis,ace,numeric,-0.0112,-0.1759,0.1573,
rho_level_axis,ace,verbal,0.2743,0.1145,0.4263,
rho_level_axis,mgm,numeric,-0.0507,-0.2073,0.1076,
rho_level_axis,mgm,verbal,0.5961,0.4768,0.6902,
rho_level_axis,mgs,numeric,-0.0797,-0.2385,0.0764,
rho_level_axis,mgs,verbal,0.546,0.4287,0.6493,
rho_level_axis,sa3s,numeric,0.0113,-0.1647,0.1809,
rho_level_axis,sa3s,verbal,0.4502,0.2986,0.5903,
rho_level_axis,sao,numeric,0.0208,-0.1544,0.1785,
rho_level_axis,sao,verbal,0.4623,0.3288,0.5784,
droop_L9-L7_axis,ace,verbal,-0.011,-0.0591,0.0366,
droop_L9-L7_axis,mgm,verbal,0.0484,0.0058,0.0906,
droop_L9-L7_axis,mgs,verbal,0.0101,-0.0386,0.061,
droop_L9-L7_axis,sa3s,verbal,0.0065,-0.0461,0.0595,
droop_L9-L7_axis,sao,verbal,0.0518,0.0094,0.0959,
