model,genre_slug,level,seed,p0a
ace,edm,1,0,4.1
ace,edm,1,1,5.2
ace,edm,1,2,3.7
ace,edm,1,3,5.2
ace,edm,1,4,4.5
ace,edm,1,5,5.2
ace,edm,9,0,3.7
ace,edm,9,1,4.5
ace,edm,9,2,4.5
ace,edm,9,3,4.0
ace,edm,9,4,5.2
ace,edm,9,5,4.4
ace,folk,1,0,3.7
ace,folk,1,1,3.7
ace,folk,1,2,3.7
ace,folk,1,3,3.7
ace,folk,1,4,3.7
ace,folk,1,5,4.1
ace,folk,9,0,3.7
ace,folk,9,1,4.1
ace,folk,9,2,3.8
ace,folk,9,3,3.8
ace,folk,9,4,3.7
ace,folk,9,5,4.1
ace,hiphop,1,0,5.2
ace,hiphop,1,1,4.1
ace,hiphop,1,2,4.1
ace,hiphop,1,3,4.0
ace,hiphop,1,4,5.9
ace,hiphop,1,5,4.1
ace,hiphop,9,0,3.8
ace,hiphop,9,1,4.1
ace,hiphop,9,2,4.4
ace,hiphop,9,3,5.9
ace,hiphop,9,4,4.2
ace,hiphop,9,5,3.7
ace,orchestral,1,0,3.7
ace,orchestral,1,1,3.7
ace,orchestral,1,2,3.7
ace,orchestral,1,3,3.7
ace,orchestral,1,4,3.7
ace,orchestral,1,5,3.7
ace,orchestral,9,0,4.1
ace,orchestral,9,1,3.8
ace,orchestral,9,2,3.7
ace,orchestral,9,3,4.1
ace,orchestral,9,4,4.5
ace,orchestral,9,5,4.1
ace,rock,1,0,4.4
ace,rock,1,1,4.5
ace,rock,1,2,4.0
ace,rock,1,3,3.7
ace,rock,1,4,4.5
ace,rock,1,5,3.7
ace,rock,9,0,5.2
ace,rock,9,1,5.2
ace,rock,9,2,5.2
ace,rock,9,3,5.2
ace,rock,9,4,4.5
ace,rock,9,5,5.2
mgm,edm,1,0,6.5
mgm,edm,1,1,6.4
mgm,edm,1,2,6.4
mgm,edm,1,3,5.5
mgm,edm,1,4,5.2
mgm,edm,1,5,5.2
mgm,edm,9,0,6.5
mgm,edm,9,1,6.5
mgm,edm,9,2,6.5
mgm,edm,9,3,6.5
mgm,edm,9,4,6.5
mgm,edm,9,5,6.5
mgm,folk,1,0,4.1
mgm,folk,1,1,4.4
mgm,folk,1,2,4.1
mgm,folk,1,3,5.2
mgm,folk,1,4,4.4
mgm,folk,1,5,4.4
mgm,folk,9,0,6.2
mgm,folk,9,1,5.9
mgm,folk,9,2,6.0
mgm,folk,9,3,6.5
mgm,folk,9,4,6.5
mgm,folk,9,5,6.4
mgm,hiphop,1,0,4.4
mgm,hiphop,1,1,5.2
mgm,hiphop,1,2,6.0
mgm,hiphop,1,3,6.0
mgm,hiphop,1,4,5.2
mgm,hiphop,1,5,5.5
mgm,hiphop,9,0,6.5
mgm,hiphop,9,1,6.5
mgm,hiphop,9,2,6.5
mgm,hiphop,9,3,6.5
mgm,hiphop,9,4,6.5
mgm,hiphop,9,5,6.5
mgm,orchestral,1,0,3.7
mgm,orchestral,1,1,3.7
mgm,orchestral,1,2,4.1
mgm,orchestral,1,3,3.7
mgm,orchestral,1,4,3.7
mgm,orchestral,1,5,3.7
mgm,orchestral,9,0,6.5
mgm,orchestral,9,1,6.4
mgm,orchestral,9,2,6.5
mgm,orchestral,9,3,6.5
mgm,orchestral,9,4,6.4
mgm,orchestral,9,5,6.5
mgm,rock,1,0,6.0
mgm,rock,1,1,6.4
mgm,rock,1,2,6.5
mgm,rock,1,3,6.5
mgm,rock,1,4,6.4
mgm,rock,1,5,6.4
mgm,rock,9,0,6.5
mgm,rock,9,1,6.5
mgm,rock,9,2,6.5
mgm,rock,9,3,6.4
mgm,rock,9,4,6.5
mgm,rock,9,5,6.5
mgs,edm,1,0,6.0
mgs,edm,1,1,3.7
mgs,edm,1,2,6.4
mgs,edm,1,3,3.7
mgs,edm,1,4,6.2
mgs,edm,1,5,6.4
mgs,edm,9,0,6.5
mgs,edm,9,1,6.5
mgs,edm,9,2,6.4
mgs,edm,9,3,6.5
mgs,edm,9,4,6.5
mgs,edm,9,5,5.9
mgs,folk,1,0,4.5
mgs,folk,1,1,4.4
mgs,folk,1,2,3.7
mgs,folk,1,3,4.1
mgs,folk,1,4,4.1
mgs,folk,1,5,4.1
mgs,folk,9,0,4.0
mgs,folk,9,1,6.0
mgs,folk,9,2,4.1
mgs,folk,9,3,5.2
mgs,folk,9,4,5.2
mgs,folk,9,5,5.5
mgs,hiphop,1,0,5.9
mgs,hiphop,1,1,4.5
mgs,hiphop,1,2,4.1
mgs,hiphop,1,3,3.7
mgs,hiphop,1,4,6.5
mgs,hiphop,1,5,5.2
mgs,hiphop,9,0,6.5
mgs,hiphop,9,1,6.2
mgs,hiphop,9,2,6.0
mgs,hiphop,9,3,6.4
mgs,hiphop,9,4,6.5
mgs,hiphop,9,5,6.4
mgs,orchestral,1,0,4.5
mgs,orchestral,1,1,3.7
mgs,orchestral,1,2,3.7
mgs,orchestral,1,3,3.8
mgs,orchestral,1,4,3.7
mgs,orchestral,1,5,4.0
mgs,orchestral,9,0,5.9
mgs,orchestral,9,1,6.5
mgs,orchestral,9,2,4.1
mgs,orchestral,9,3,3.8
mgs,orchestral,9,4,3.8
mgs,orchestral,9,5,4.2
mgs,rock,1,0,6.5
mgs,rock,1,1,6.0
mgs,rock,1,2,6.4
mgs,rock,1,3,4.1
mgs,rock,1,4,3.7
mgs,rock,1,5,5.5
mgs,rock,9,0,6.5
mgs,rock,9,1,6.5
mgs,rock,9,2,6.5
mgs,rock,9,3,6.5
mgs,rock,9,4,3.8
mgs,rock,9,5,6.4
sa3s,edm,1,0,5.2
sa3s,edm,1,1,4.1
sa3s,edm,1,2,6.0
sa3s,edm,1,3,5.2
sa3s,edm,1,4,4.5
sa3s,edm,1,5,4.2
sa3s,edm,9,0,6.4
sa3s,edm,9,1,6.2
sa3s,edm,9,2,6.5
sa3s,edm,9,3,6.4
sa3s,edm,9,4,6.5
sa3s,edm,9,5,6.5
sa3s,folk,1,0,3.7
sa3s,folk,1,1,3.7
sa3s,folk,1,2,4.1
sa3s,folk,1,3,3.7
sa3s,folk,1,4,4.1
sa3s,folk,1,5,4.4
sa3s,folk,9,0,4.2
sa3s,folk,9,1,4.1
sa3s,folk,9,2,4.5
sa3s,folk,9,3,3.7
sa3s,folk,9,4,4.5
sa3s,folk,9,5,4.4
sa3s,hiphop,1,0,6.4
sa3s,hiphop,1,1,5.2
sa3s,hiphop,1,2,5.5
sa3s,hiphop,1,3,4.1
sa3s,hiphop,1,4,6.0
sa3s,hiphop,1,5,5.2
sa3s,hiphop,9,0,6.0
sa3s,hiphop,9,1,6.4
sa3s,hiphop,9,2,5.5
sa3s,hiphop,9,3,6.4
sa3s,hiphop,9,4,6.0
sa3s,hiphop,9,5,6.0
sa3s,orchestral,1,0,3.8
sa3s,orchestral,1,1,4.4
sa3s,orchestral,1,2,4.5
sa3s,orchestral,1,3,3.8
sa3s,orchestral,1,4,4.1
sa3s,orchestral,1,5,3.7
sa3s,orchestral,9,0,5.2
sa3s,orchestral,9,1,4.5
sa3s,orchestral,9,2,6.0
sa3s,orchestral,9,3,6.0
sa3s,orchestral,9,4,6.0
sa3s,orchestral,9,5,6.5
sa3s,rock,1,0,6.5
sa3s,rock,1,1,6.5
sa3s,rock,1,2,6.4
sa3s,rock,1,3,6.5
sa3s,rock,1,4,6.5
sa3s,rock,1,5,6.5
sa3s,rock,9,0,6.5
sa3s,rock,9,1,6.5
sa3s,rock,9,2,6.5
sa3s,rock,9,3,6.5
sa3s,rock,9,4,6.5
sa3s,rock,9,5,6.5
sao,edm,1,0,5.2
sao,edm,1,1,5.2
sao,edm,1,2,6.4
sao,edm,1,3,6.0
sao,edm,1,4,6.5
sao,edm,1,5,6.2
sao,edm,9,0,6.5
sao,edm,9,1,6.5
sao,edm,9,2,6.5
sao,edm,9,3,6.5
sao,edm,9,4,6.5
sao,edm,9,5,6.5
sao,folk,1,0,3.8
sao,folk,1,1,4.0
sao,folk,1,2,4.1
sao,folk,1,3,3.7
sao,folk,1,4,3.8
sao,folk,1,5,3.8
sao,folk,9,0,5.9
sao,folk,9,1,6.2
sao,folk,9,2,6.0
sao,folk,9,3,5.2
sao,folk,9,4,5.2
sao,folk,9,5,6.2
sao,hiphop,1,0,5.5
sao,hiphop,1,1,6.0
sao,hiphop,1,2,6.2
sao,hiphop,1,3,6.0
sao,hiphop,1,4,5.2
sao,hiphop,1,5,4.5
sao,hiphop,9,0,6.5
sao,hiphop,9,1,6.5
sao,hiphop,9,2,6.5
sao,hiphop,9,3,6.5
sao,hiphop,9,4,6.5
sao,hiphop,9,5,6.5
sao,orchestral,1,0,4.1
sao,orchestral,1,1,5.2
sao,orchestral,1,2,5.2
sao,orchestral,1,3,3.7
sao,orchestral,1,4,5.9
sao,orchestral,1,5,4.5
sao,orchestral,9,0,6.4
sao,orchestral,9,1,6.5
sao,orchestral,9,2,6.2
sao,orchestral,9,3,6.4
sao,orchestral,9,4,6.0
sao,orchestral,9,5,6.5
sao,rock,1,0,6.2
sao,rock,1,1,4.5
sao,rock,1,2,6.5
sao,rock,1,3,5.9
sao,rock,1,4,6.4
sao,rock,1,5,5.5
sao,rock,9,0,6.5
sao,rock,9,1,6.5
sao,rock,9,2,6.5
sao,rock,9,3,6.5
sao,rock,9,4,6.5
sao,rock,9,5,6.5
