file,model,prompt_id,seed,genre_slug,level,phrasing,genre_text,energy_text,prompt_text,p0a,lufs,clap,p0a_n,clap_n
corpus/ace__edm_L1_num__s0.wav,ace,edm_L1_num,0,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",4.5,-21.20549188720612,0.1146900504827499,6.0,0.1687220633029937
corpus/ace__edm_L1_num__s1.wav,ace,edm_L1_num,1,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",4.2,-16.457668005263443,0.1023200005292892,4.5,0.2295702248811721
corpus/ace__edm_L1_num__s2.wav,ace,edm_L1_num,2,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",4.5,-21.9452452948338,0.0529069453477859,5.5,0.1598698943853378
corpus/ace__edm_L1_num__s3.wav,ace,edm_L1_num,3,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",5.2,-18.96659086732818,0.1388937383890152,6.0,0.2153457403182983
corpus/ace__edm_L1_num__s4.wav,ace,edm_L1_num,4,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",4.5,-20.939778955810368,0.0316106230020523,5.2,0.1143503561615943
corpus/ace__edm_L1_num__s5.wav,ace,edm_L1_num,5,edm,1,numeric,instrumental electronic dance track,energy level 1 out of 11,"instrumental electronic dance track, energy level 1 out of 11",4.5,-18.862325459374045,0.0545086562633514,5.2,0.0882300734519958
corpus/ace__edm_L1_verb__s0.wav,ace,edm_L1_verb,0,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",4.1,-18.175065636134,0.1274373531341552,4.1,0.200332224369049
corpus/ace__edm_L1_verb__s1.wav,ace,edm_L1_verb,1,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",5.2,-19.16148664698733,-0.140700101852417,5.2,-0.1410649418830871
corpus/ace__edm_L1_verb__s2.wav,ace,edm_L1_verb,2,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",3.7,-20.28764915900291,-0.0533079653978347,3.7,0.1343794465065002
corpus/ace__edm_L1_verb__s3.wav,ace,edm_L1_verb,3,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",5.2,-18.316757981776224,0.1194821298122406,6.0,0.1540292501449585
corpus/ace__edm_L1_verb__s4.wav,ace,edm_L1_verb,4,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",4.5,-18.07722755154991,0.1400014907121658,5.2,0.1863696128129959
corpus/ace__edm_L1_verb__s5.wav,ace,edm_L1_verb,5,edm,1,verbal,instrumental electronic dance track,very calm,"instrumental electronic dance track, very calm",5.2,-16.92881369878463,0.0941500812768936,5.9,0.1392205357551574
corpus/ace__edm_L3_num__s0.wav,ace,edm_L3_num,0,edm,3,numeric,instrumental electronic dance track,energy level 3 out of 11,"instrumental electronic dance track, energy level 3 out of 11",4.5,-19.924847298716884,0.1757559180259704,5.2,0.2376465946435928
corpus/ace__edm_L3_num__s1.wav,ace,edm_L3_num,1,edm,3,numeric,instrumental electronic dance track,energy level 3 out of 11,"instrumental electronic dance track, energy level 3 out of 11",5.2,-16.22340892647455,0.2196067422628402,5.5,0.3422152698040008
corpus/ace__edm_L3_num__s2.wav,ace,edm_L3_num,2,edm,3,numeric,instrumental electronic dance track,energy level 3 out of 11,"instrumental electronic dance track, energy level 3 out of 11",4.4,-17.971506346487068,-0.1305509656667709,4.5,0.2485578805208206
corpus/ace__edm_L3_num__s3.wav,ace,edm_L3_num,3,edm,3,numeric,instrumental electronic dance track,energy level 3 out of 11,"instrumental electronic dance track, energy level 3 out of 11",6.0,-18.85072026587775,0.0389505624771118,6.2,0.1759184598922729
